HHID,EAID,Region,riceSystem,SSR_Yha,BRR_Yha,ZCC_Yha,rateNPK,rateUrea,ureaBRR,NPKBRR,rateN,rateN_BRR,useN_effSSR,plot,useN
SGHHNG000425,SGEANG000104,Region1,rainfedLowland,3.289403518,3.635524483,2.125336284,183,92,87,267,67.94,77.4,1.445700851,T1,48.41630141
SGHHNG000431,SGEANG000105,Region2,rainfedLowland,4.12011782,4.598997346,4.27626069,80,77,87,267,46.62,77.4,28.95804526,T1,88.37661562
SGHHNG000432,SGEANG000105,Region2,rainfedLowland,6.116365233,5.299686946,3.899382897,80,77,87,267,46.62,77.4,62.72475786,T1,131.1961654
SGHHNG000434,SGEANG000105,Region2,rainfedLowland,5.015194346,5.153148911,3.644509862,80,77,87,267,46.62,77.4,40.997875,T1,107.5760263
SGHHNG000436,SGEANG000105,Region2,rainfedLowland,5.154665882,4.623799705,3.72614841,80,77,87,267,46.62,77.4,50.82867945,T1,110.5676937
SGHHNG000449,SGEANG000105,Region2,rainfedLowland,5.963232682,5.427766241,3.368258677,80,77,87,267,46.62,77.4,57.78529011,T1,127.9114689
SGHHNG000453,SGEANG000106,Region2,rainfedLowland,5.756693981,4.948115983,3.332860006,100,95,87,267,57.7,77.4,35.84024602,T1,99.76939309
SGHHNG000455,SGEANG000106,Region2,rainfedLowland,3.329450102,2.601362069,2.90825183,80,77,87,267,46.62,77.4,37.80744704,T1,71.4167761
SGHHNG000456,SGEANG000106,Region2,rainfedLowland,4.589056924,3.471044776,2.377938144,80,77,87,267,46.62,77.4,53.58982972,T1,98.43536946
SGHHNG000457,SGEANG000106,Region2,rainfedLowland,3.544328859,2.859671766,2.111495168,80,77,87,267,46.62,77.4,39.0792664,T1,76.02593005
SGHHNG000460,SGEANG000106,Region2,rainfedLowland,2.955202995,4.526613591,4.049639794,80,77,87,267,46.62,77.4,4.905787891,T1,63.38916762
SGHHNG000462,SGEANG000106,Region2,rainfedLowland,1.101087648,1.028973913,1.296146257,80,77,87,267,46.62,77.4,10.32411707,T1,23.61835367
SGHHNG000468,SGEANG000106,Region2,rainfedLowland,3.621637092,3.281522669,4.109461078,80,77,87,267,46.62,77.4,35.2872596,T1,77.68419331
SGHHNG000480,SGEANG000109,Region3,irrigated,6.497958524,5.467386107,NA,NA,175,87,267,NA,77.4,NA,T1,NA
SGHHNG000481,SGEANG000109,Region3,irrigated,6.969552834,6.475278015,NA,40,207,87,267,100.82,77.4,-14.53124946,T1,69.12867322
SGHHNG000482,SGEANG000109,Region3,irrigated,5.839499146,5.071784811,NA,NA,175,87,267,NA,77.4,NA,T1,NA
SGHHNG000483,SGEANG000109,Region3,irrigated,6.802044393,6.228178895,NA,NA,175,87,267,NA,77.4,NA,T1,NA
SGHHNG000484,SGEANG000109,Region3,irrigated,6.898153034,6.241673932,NA,NA,175,87,267,NA,77.4,NA,T1,NA
SGHHNG000485,SGEANG000109,Region3,irrigated,4.801023018,4.528360798,NA,7,195,87,267,90.68,77.4,-5.561279687,T1,52.94467377
SGHHNG000486,SGEANG000109,Region3,irrigated,6.422260274,5.907006005,NA,NA,175,87,267,NA,77.4,NA,T1,NA
SGHHNG000487,SGEANG000109,Region3,irrigated,6.410670471,6.05257732,NA,7,195,87,267,90.68,77.4,-7.503145471,T1,70.69552791
SGHHNG000488,SGEANG000109,Region3,irrigated,5.403195266,5.04973262,NA,40,207,87,267,100.82,77.4,-11.64952931,T1,53.59249421
SGHHNG000490,SGEANG000109,Region3,irrigated,5.358836815,4.723360713,4.17025641,NA,175,87,267,NA,77.4,NA,T1,NA
SGHHNG000498,SGEANG000108,Region3,irrigated,5.653030043,6.002675869,1.891705916,252,200,87,267,127.28,77.4,-33.13982512,T1,44.41412667
SGHHNG000499,SGEANG000108,Region3,irrigated,3.910019869,3.42548853,NA,252,200,87,267,127.28,77.4,-13.53712848,T1,30.71982927
SGHHNG000500,SGEANG000108,Region3,irrigated,5.213665236,5.715950885,NA,252,200,87,267,127.28,77.4,-32.88732277,T1,40.96217187
