household,enumerator,event,region,plot_yield_T1,plot_yield_T3,plot_yield_T2,plot_length_T2,plotL2_T2,plot_width_T2,plotW2_T2,plot_length_T1,plotL2_T1,plot_width_T1,plotW2_T1,plotL1_T3,plotL2_T3,plotW1_T3,plotW2_T3,riceSystem,plotSizeT2,plotSizeT1,plotSizeT3,T2_Yha,X,moistT3,moisture_T2,moisture_T1,moistureT2,moistureT1,moistureT3,T1_BRR,T1_ZCC,T3_ZCC,eSSR,plot,incrT2,incrT1,T2_yieldha,T1_yieldha,T3_yieldha,incr_Y
SGHHNG000371,SGEANG000102,event6R,Region1,27.06,27,7.492,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.455749105,9,17.5,14.2,15.4,14.7,15.44333333,17.34,0.743333333,-1.896666667,-2.64,-0.011354069,T3,1.227773127,1.216419058,2.683522232,2.672168163,2.683522232,1.227773127
SGHHNG000371,SGEANG000102,event6R,Region1,27.06,27,7.492,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.455749105,9,17.5,14.2,15.4,14.7,15.44333333,17.34,0.743333333,-1.896666667,-2.64,-0.011354069,T1,1.227773127,1.216419058,2.672168163,2.672168163,2.683522232,1.216419058
SGHHNG000372,SGEANG000102,event6R,Region1,31.855,27.855,9.025,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.74135402,10,18.4,18.4,18.6,19.73333333,18.8,18.16666667,-0.933333333,0.633333333,1.566666667,0.404674332,T3,0.910764577,1.31543891,2.652118597,3.056792929,2.652118597,0.910764577
SGHHNG000372,SGEANG000102,event6R,Region1,31.855,27.855,9.025,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.74135402,10,18.4,18.4,18.6,19.73333333,18.8,18.16666667,-0.933333333,0.633333333,1.566666667,0.404674332,T1,0.910764577,1.31543891,3.056792929,3.056792929,2.652118597,1.31543891
SGHHNG000373,SGEANG000102,event6R,Region1,28.08,28.19,8.28,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.578021733,11,18.6,17.6,18.1,17.6,18.26666667,19.63333333,0.666666667,-1.366666667,-2.033333333,-0.026007351,T3,1.154682349,1.128674997,2.732704082,2.706696731,2.732704082,1.154682349
SGHHNG000373,SGEANG000102,event6R,Region1,28.08,28.19,8.28,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.578021733,11,18.6,17.6,18.1,17.6,18.26666667,19.63333333,0.666666667,-1.366666667,-2.033333333,-0.026007351,T1,1.154682349,1.128674997,2.706696731,2.706696731,2.732704082,1.128674997
SGHHNG000374,SGEANG000102,event6R,Region1,28.59,25.35,19.05,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,3.668412162,12,18.4,18.4,18.6,18.43333333,18.53333333,18.4,0.1,0.133333333,0.033333333,0.309549966,T3,-1.22830521,-0.918755244,2.440106952,2.749656918,2.440106952,-1.22830521
SGHHNG000374,SGEANG000102,event6R,Region1,28.59,25.35,19.05,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,3.668412162,12,18.4,18.4,18.6,18.43333333,18.53333333,18.4,0.1,0.133333333,0.033333333,0.309549966,T1,-1.22830521,-0.918755244,2.749656918,2.749656918,2.440106952,-0.918755244
SGHHNG000378,SGEANG000102,event6R,Region1,25,23.05,18.4,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,3.534188874,13,18.01,18.6,18.4,18.46666667,18.43333333,18.70333333,-0.033333333,-0.27,-0.236666667,0.188324822,T3,-1.316096584,-1.127771762,2.21809229,2.406417112,2.21809229,-1.316096584
SGHHNG000378,SGEANG000102,event6R,Region1,25,23.05,18.4,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,3.534188874,13,18.01,18.6,18.4,18.46666667,18.43333333,18.70333333,-0.033333333,-0.27,-0.236666667,0.188324822,T1,-1.316096584,-1.127771762,2.406417112,2.406417112,2.21809229,-1.127771762
SGHHNG000379,SGEANG000102,event6R,Region1,25.1,25.05,7.92,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.52775882,14,18.4,18.5,19.4,18.31333333,18.93333333,18.19666667,0.62,0.736666667,0.116666667,-0.007789901,T3,0.885916731,0.87812683,2.413675551,2.40588565,2.413675551,0.885916731
SGHHNG000379,SGEANG000102,event6R,Region1,25.1,25.05,7.92,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.52775882,14,18.4,18.5,19.4,18.31333333,18.93333333,18.19666667,0.62,0.736666667,0.116666667,-0.007789901,T1,0.885916731,0.87812683,2.40588565,2.40588565,2.413675551,0.87812683
SGHHNG000383,SGEANG000102,event6R,Region1,26.06,26.53,8.78,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.691695775,15,18.2,20.6,19.9,20.5,20.2,18.33333333,-0.3,1.866666667,2.166666667,-0.038311417,T3,0.818196342,0.779884924,2.509892116,2.471580699,2.509892116,0.818196342
SGHHNG000383,SGEANG000102,event6R,Region1,26.06,26.53,8.78,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.691695775,15,18.2,20.6,19.9,20.5,20.2,18.33333333,-0.3,1.866666667,2.166666667,-0.038311417,T1,0.818196342,0.779884924,2.471580699,2.471580699,2.509892116,0.779884924
SGHHNG000384,SGEANG000102,event6R,Region1,31.58,31.8,7.345,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,NA,16,18,18.2,17,17.53333333,17.1,17.93333333,-0.433333333,-0.833333333,-0.4,-0.010003638,T3,NA,NA,3.084401588,3.07439795,3.084401588,NA
SGHHNG000384,SGEANG000102,event6R,Region1,31.58,31.8,7.345,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,NA,16,18,18.2,17,17.53333333,17.1,17.93333333,-0.433333333,-0.833333333,-0.4,-0.010003638,T1,NA,NA,3.07439795,3.07439795,3.084401588,NA
SGHHNG000387,SGEANG000102,event6R,Region1,29.04,27.14,19.19,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,3.941493003,17,11,11,11,11.00333333,11,11.00666667,-0.003333333,-0.006666667,-0.003333333,0.195218837,T3,-1.154225354,-0.959006517,2.78726765,2.982486486,2.78726765,-1.154225354
SGHHNG000387,SGEANG000102,event6R,Region1,29.04,27.14,19.19,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,3.941493003,17,11,11,11,11.00333333,11,11.00666667,-0.003333333,-0.006666667,-0.003333333,0.195218837,T1,-1.154225354,-0.959006517,2.982486486,2.982486486,2.78726765,-0.959006517
SGHHNG000393,SGEANG000101,event6R,Region1,17.3,21.3,6.2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.189565217,18,21.7,21.6,24.6,18.73333333,19.9,18.83333333,1.166666667,1.066666667,-0.1,-0.400216304,T3,0.855521812,0.455305508,2.04508703,1.644870726,2.04508703,0.855521812
SGHHNG000393,SGEANG000101,event6R,Region1,17.3,21.3,6.2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.189565217,18,21.7,21.6,24.6,18.73333333,19.9,18.83333333,1.166666667,1.066666667,-0.1,-0.400216304,T1,0.855521812,0.455305508,1.644870726,1.644870726,2.04508703,0.455305508
SGHHNG000395,SGEANG000101,event6R,Region1,19.7,2,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.399182959,19,13.3,13.7,13.4,13.9,14.13333333,14.23333333,0.233333333,-0.1,-0.333333333,1.767523006,T3,-0.199007366,1.568515639,0.200175593,1.967698598,0.200175593,-0.199007366
SGHHNG000395,SGEANG000101,event6R,Region1,19.7,2,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.399182959,19,13.3,13.7,13.4,13.9,14.13333333,14.23333333,0.233333333,-0.1,-0.333333333,1.767523006,T1,-0.199007366,1.568515639,1.967698598,1.967698598,0.200175593,1.568515639
SGHHNG000399,SGEANG000101,event6R,Region1,21.2,23.6,13.2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,2.578920308,20,17,15.6,17,14.43333333,14.96666667,16.7,0.533333333,-1.733333333,-2.266666667,-0.248888667,T3,-0.227857098,-0.476745765,2.35106321,2.102174543,2.35106321,-0.227857098
SGHHNG000399,SGEANG000101,event6R,Region1,21.2,23.6,13.2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,2.578920308,20,17,15.6,17,14.43333333,14.96666667,16.7,0.533333333,-1.733333333,-2.266666667,-0.248888667,T1,-0.227857098,-0.476745765,2.102174543,2.102174543,2.35106321,-0.476745765
SGHHNG000403,SGEANG000101,event6R,Region1,18.6,2,7.8,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.528272701,21,16.2,16.2,17.2,17.03333333,14.4,16.36666667,-2.633333333,-1.966666667,0.666666667,1.658680212,T3,-1.33345641,0.325223802,0.194816292,1.853496503,0.194816292,-1.33345641
SGHHNG000403,SGEANG000101,event6R,Region1,18.6,2,7.8,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.528272701,21,16.2,16.2,17.2,17.03333333,14.4,16.36666667,-2.633333333,-1.966666667,0.666666667,1.658680212,T1,-1.33345641,0.325223802,1.853496503,1.853496503,0.194816292,0.325223802
SGHHNG000404,SGEANG000101,event6R,Region1,226,2,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.4,22,17,15,15,14.66666667,14.33333333,14,-0.333333333,0.333333333,0.666666667,NA,T3,-0.201162791,NA,0.198837209,NA,0.198837209,-0.201162791
SGHHNG000404,SGEANG000101,event6R,Region1,226,2,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.4,22,17,15,15,14.66666667,14.33333333,14,-0.333333333,0.333333333,0.666666667,NA,T1,-0.201162791,NA,NA,NA,0.198837209,NA
SGHHNG000406,SGEANG000101,event6R,Region1,17.3,29.73,7.9,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.539925905,23,17.3,21.3,16.5,19.03333333,17.03333333,16.96666667,-2,0.066666667,2.066666667,-1.162125552,T3,1.30736057,0.145235018,2.847286474,1.685160923,2.847286474,1.30736057
SGHHNG000406,SGEANG000101,event6R,Region1,17.3,29.73,7.9,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.539925905,23,17.3,21.3,16.5,19.03333333,17.03333333,16.96666667,-2,0.066666667,2.066666667,-1.162125552,T1,1.30736057,0.145235018,1.685160923,1.685160923,2.847286474,0.145235018
SGHHNG000407,SGEANG000101,event6R,Region1,232,23,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.398833819,24,14,14,16,15.66666667,14,14.33333333,-1.666666667,-0.333333333,1.333333333,NA,T3,1.86802497,NA,2.26685879,NA,2.26685879,1.86802497
SGHHNG000407,SGEANG000101,event6R,Region1,232,23,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.398833819,24,14,14,16,15.66666667,14,14.33333333,-1.666666667,-0.333333333,1.333333333,NA,T1,1.86802497,NA,NA,NA,2.26685879,NA
SGHHNG000408,SGEANG000101,event6R,Region1,19.5,23.5,7.6,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.501559792,25,16.2,15.9,16.2,17.3,16.6,15.4,-0.7,1.2,1.9,-0.377369458,T3,0.782327676,0.404958218,2.283887468,1.90651801,2.283887468,0.782327676
SGHHNG000408,SGEANG000101,event6R,Region1,19.5,23.5,7.6,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,1.501559792,25,16.2,15.9,16.2,17.3,16.6,15.4,-0.7,1.2,1.9,-0.377369458,T1,0.782327676,0.404958218,1.90651801,1.90651801,2.283887468,0.404958218
SGHHNG000409,SGEANG000101,event6R,Region1,21,23,21,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,4.139481268,26,14,17,18,15.33333333,17.33333333,15.66666667,2,1.666666667,-0.333333333,-0.233069496,T3,-1.866070863,-2.099140359,2.273410405,2.040340909,2.273410405,-1.866070863
SGHHNG000409,SGEANG000101,event6R,Region1,21,23,21,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,4.139481268,26,14,17,18,15.33333333,17.33333333,15.66666667,2,1.666666667,-0.333333333,-0.233069496,T1,-1.866070863,-2.099140359,2.040340909,2.040340909,2.273410405,-2.099140359
SGHHNG000410,SGEANG000101,event6R,Region1,2,2.57,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.393103448,27,15,19,17,18,17.33333333,16,-0.666666667,1.333333333,2,-0.053969954,T3,-0.144815313,-0.198785266,0.248288136,0.194318182,0.248288136,-0.144815313
SGHHNG000410,SGEANG000101,event6R,Region1,2,2.57,2,10,10,10,10,10,10,10,10,10,10,5,5,rainfedLowland,100,100,50,0.393103448,27,15,19,17,18,17.33333333,16,-0.666666667,1.333333333,2,-0.053969954,T1,-0.144815313,-0.198785266,0.194318182,0.194318182,0.248288136,-0.198785266
SGHHNG000411,SGEANG000104,event6R,Region1,28.431,36.201,9,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,rainfedLowland,94.08,94.08,47.04,1.875965409,28,16.2,16.6,17.6,16.86666667,18.03333333,16.26666667,1.166666667,1.766666667,0.6,-0.834771642,T3,1.877543517,1.042771875,3.753508926,2.918737285,3.753508926,1.877543517
SGHHNG000411,SGEANG000104,event6R,Region1,28.431,36.201,9,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,rainfedLowland,94.08,94.08,47.04,1.875965409,28,16.2,16.6,17.6,16.86666667,18.03333333,16.26666667,1.166666667,1.766666667,0.6,-0.834771642,T1,1.877543517,1.042771875,2.918737285,2.918737285,3.753508926,1.042771875
SGHHNG000412,SGEANG000104,event6R,Region1,27.3,37.77,10.925,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,rainfedLowland,93.12,93.12,46.56,2.264335977,29,18.8,19.3,19.4,19.56666667,19.2,18.13333333,-0.366666667,1.066666667,1.433333333,-1.06341079,T3,1.602882846,0.539472056,3.867218823,2.803808033,3.867218823,1.602882846
SGHHNG000412,SGEANG000104,event6R,Region1,27.3,37.77,10.925,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,rainfedLowland,93.12,93.12,46.56,2.264335977,29,18.8,19.3,19.4,19.56666667,19.2,18.13333333,-0.366666667,1.066666667,1.433333333,-1.06341079,T1,1.602882846,0.539472056,2.803808033,2.803808033,3.867218823,0.539472056
SGHHNG000414,SGEANG000104,event6R,Region1,39.022,34.541,12.7,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,rainfedLowland,93.12,93.12,46.56,2.634455873,30,18.2,18.9,19.6,18.16666667,19.03333333,18.03333333,0.866666667,1,0.133333333,0.434804515,T3,0.94405059,1.378855105,3.578506463,4.013310979,3.578506463,0.94405059
SGHHNG000414,SGEANG000104,event6R,Region1,39.022,34.541,12.7,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,rainfedLowland,93.12,93.12,46.56,2.634455873,30,18.2,18.9,19.6,18.16666667,19.03333333,18.03333333,0.866666667,1,0.133333333,0.434804515,T1,0.94405059,1.378855105,4.013310979,4.013310979,3.578506463,1.378855105
SGHHNG000415,SGEANG000104,event6R,Region1,30.41,29.98,9.076,9.4,9.4,9.6,9.6,9.4,9.4,9.6,9.6,9.4,9.4,4.6,4.6,rainfedLowland,90.24,90.24,43.24,1.995696383,31,19.8,19.4,17.8,18.36666667,17.43333333,19.9,-0.933333333,-2.466666667,-1.533333333,0.071687982,T3,1.203994145,1.275682127,3.199690528,3.27137851,3.199690528,1.203994145
