,household,enumerator,event,region,SSR_Yplot,BRR_Yplot,ZCC_Yplot,plotL1_BRR,plotL2_BRR,plotW1_BRR,plotW2_BRR,plotL1_SSR,plotL2_SSR,plotW1_SSR,plotW2_SSR,plotL1_ZCC,plotL2_ZCC,plotW1_ZCC,plotW2_ZCC,riceSystem,plotSizeBRR,plotSizeSSR,plotSizeZCC,T1_Yha,T2_Yha,T3_Yha,X,moistZCC,moistBRR,moistSSR,moistureBRR,moistureSSR,moistureZCC,SSR_BRR,SSR_ZCC,BRR_ZCC,incrBRR,incrSSR,eSSR,ecdf,lower,upper
15,SGHHNG000384,SGEANG000102,event6R,Region1,31.58,31.8,7.345,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,3.07439795,3.084401588,NA,16,18,18.2,17,17.53333333,17.1,17.93333333,-0.433333333,-0.833333333,-0.4,NA,NA,-0.010003638,0.636363636,0.405562073,0.8671652
16,SGHHNG000387,SGEANG000102,event6R,Region1,29.04,27.14,19.19,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.982486486,2.78726765,3.941493003,17,11,11,11,11.00333333,11,11.00666667,-0.003333333,-0.006666667,-0.003333333,-1.154225354,-0.959006517,0.195218837,0.787878788,0.557077225,1
17,SGHHNG000393,SGEANG000101,event6R,Region1,17.3,21.3,6.2,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,1.644870726,2.04508703,1.189565217,18,21.7,21.6,24.6,18.73333333,19.9,18.83333333,1.166666667,1.066666667,-0.1,0.855521812,0.455305508,-0.400216304,0.151515152,0,0.382316715
18,SGHHNG000395,SGEANG000101,event6R,Region1,19.7,2,2,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,1.967698598,0.200175593,0.399182959,19,13.3,13.7,13.4,13.9,14.13333333,14.23333333,0.233333333,-0.1,-0.333333333,-0.199007366,1.568515639,1.767523006,1,0.769198437,1
19,SGHHNG000399,SGEANG000101,event6R,Region1,21.2,23.6,13.2,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.102174543,2.35106321,2.578920308,20,17,15.6,17,14.43333333,14.96666667,16.7,0.533333333,-1.733333333,-2.266666667,-0.227857098,-0.476745765,-0.248888667,0.393939394,0.163137831,0.624740957
20,SGHHNG000403,SGEANG000101,event6R,Region1,18.6,2,7.8,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,1.853496503,0.194816292,1.528272701,21,16.2,16.2,17.2,17.03333333,14.4,16.36666667,-2.633333333,-1.966666667,0.666666667,-1.33345641,0.325223802,1.658680212,0.96969697,0.738895406,1
21,SGHHNG000406,SGEANG000101,event6R,Region1,17.3,29.73,7.9,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,1.685160923,2.847286474,1.539925905,23,17.3,21.3,16.5,19.03333333,17.03333333,16.96666667,-2,0.066666667,2.066666667,1.30736057,0.145235018,-1.162125552,0.03030303,0,0.261104594
22,SGHHNG000408,SGEANG000101,event6R,Region1,19.5,23.5,7.6,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,1.90651801,2.283887468,1.501559792,25,16.2,15.9,16.2,17.3,16.6,15.4,-0.7,1.2,1.9,0.782327676,0.404958218,-0.377369458,0.181818182,0,0.412619745
23,SGHHNG000409,SGEANG000101,event6R,Region1,21,23,21,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,2.040340909,2.273410405,4.139481268,26,14,17,18,15.33333333,17.33333333,15.66666667,2,1.666666667,-0.333333333,-1.866070863,-2.099140359,-0.233069496,0.454545455,0.223743891,0.685347018
24,SGHHNG000410,SGEANG000101,event6R,Region1,2,2.57,2,10,10,10,10,10,10,10,10,10,10,5,5,Rainfed lowland,100,100,50,0.194318182,0.248288136,0.393103448,27,15,19,17,18,17.33333333,16,-0.666666667,1.333333333,2,-0.144815313,-0.198785266,-0.053969954,0.515151515,0.284349952,0.745953078
25,SGHHNG000411,SGEANG000104,event6R,Region1,28.431,36.201,9,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,Rainfed lowland,94.08,94.08,47.04,2.918737285,3.753508926,1.875965409,28,16.2,16.6,17.6,16.86666667,18.03333333,16.26666667,1.166666667,1.766666667,0.6,1.877543517,1.042771875,-0.834771642,0.090909091,0,0.321710654
26,SGHHNG000412,SGEANG000104,event6R,Region1,27.3,37.77,10.925,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,Rainfed lowland,93.12,93.12,46.56,2.803808033,3.867218823,2.264335977,29,18.8,19.3,19.4,19.56666667,19.2,18.13333333,-0.366666667,1.066666667,1.433333333,1.602882846,0.539472056,-1.06341079,0.060606061,0,0.291407624
27,SGHHNG000414,SGEANG000104,event6R,Region1,39.022,34.541,12.7,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,Rainfed lowland,93.12,93.12,46.56,4.013310979,3.578506463,2.634455873,30,18.2,18.9,19.6,18.16666667,19.03333333,18.03333333,0.866666667,1,0.133333333,0.94405059,1.378855105,0.434804515,0.939393939,0.708592376,1
28,SGHHNG000415,SGEANG000104,event6R,Region1,30.41,29.98,9.076,9.4,9.4,9.6,9.6,9.4,9.4,9.6,9.6,9.4,9.4,4.6,4.6,Rainfed lowland,90.24,90.24,43.24,3.27137851,3.199690528,1.995696383,31,19.8,19.4,17.8,18.36666667,17.43333333,19.9,-0.933333333,-2.466666667,-1.533333333,1.203994145,1.275682127,0.071687982,0.696969697,0.466168134,0.92777126
29,SGHHNG000419,SGEANG000104,event6R,Region1,28.921,33.736,11.201,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,Rainfed lowland,94.08,94.08,47.04,2.901842044,3.356246439,2.256465554,32,19.4,22.1,20.4,21.8,20.76666667,20.3,-1.033333333,0.466666667,1.5,1.099780886,0.64537649,-0.454404396,0.121212121,0,0.352013685
30,SGHHNG000420,SGEANG000104,event6R,Region1,35.845,32.632,10.71,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,4.8,4.8,Rainfed lowland,93.12,93.12,46.08,3.737854327,3.410555129,2.234700063,33,18.4,16.6,17.2,17.13333333,17.4,18.56666667,0.266666667,-1.166666667,-1.433333333,1.175855065,1.503154263,0.327299198,0.878787879,0.647986315,1
31,SGHHNG000421,SGEANG000104,event6R,Region1,39.66,36.765,8.675,9.8,9.8,9.6,9.6,9.8,9.8,9.6,9.6,9.8,9.8,4.8,4.8,Rainfed lowland,94.08,94.08,47.04,3.962952003,3.80655876,1.801507878,34,16.5,16.8,18.7,17.03333333,21.26666667,16.7,4.233333333,4.566666667,0.333333333,2.005050882,2.161444125,0.156393243,0.727272727,0.496471164,0.958074291
32,SGHHNG000422,SGEANG000104,event6R,Region1,27.34,29.76,9.611,9.6,9.6,9.5,9.5,9.6,9.6,9.5,9.5,9.6,9.6,4.8,4.8,Rainfed lowland,91.2,91.2,46.08,2.917615253,3.173158942,2.079639668,35,14.8,16.9,16.9,17.23333333,17.13333333,14.33333333,-0.1,2.8,2.9,1.093519274,0.837975585,-0.255543689,0.363636364,0.1328348,0.594437927
33,SGHHNG000425,SGEANG000104,event6R,Region1,31.643,34.735,10.101,9.7,9.7,9.6,9.6,9.7,9.7,9.6,9.6,9.7,9.7,4.8,4.8,Rainfed lowland,93.12,93.12,46.56,3.289403518,3.635524483,2.125336284,36,16.2,16.4,17.6,16.96666667,17.76666667,16.36666667,0.8,1.4,0.6,1.510188199,1.164067233,-0.346120965,0.242424242,0.011622679,0.473225806
