"","District","Kebele","Farmers code","Landscape","Grain yield (kg/ha)_EXN","Grain yield (kg/ha)_LSFR","Straw yield (kg/ha)_EXN","Straw yield (kg/ha)_LSFR","Yield difference kg/ha_EXN","Yield difference kg/ha_LSFR","Straw difference kg/ha_EXN","Straw difference kg/ha_LSFR","LP (Kg yield/man-days)_EXN","LP (Kg yield/man-days)_LSFR","Net Benefit (Birr/ha)_EXN","Net Benefit (Birr/ha)_LSFR","Net benefit difference_EXN","Net benefit difference_LSFR"
"34","Anilemo","Laygnaw Fonko","Wt-AN-LF-MS-MF-03","Midslope",1000,900,4783.33333333333,4075,NA,-99.9999999999998,NA,-708.333333333333,15.625,14.0625,24939.7333333333,17777.414,NA,-7162.31933333333
"35","Anilemo","Debub Fonko","Wt-AN-DF-MS-MA-05","Midslope",1342.5,2072.5,8333.33333333333,9166.66666666667,NA,730,NA,833.333333333332,13.425,20.725,40338.4,61921.914,NA,21583.514
"36","Anilemo","Laygnaw Fonko","Wt-AN-LF-MS-SE-01","Midslope",2083.33333333333,2500,6166.66666666667,6916.66666666667,NA,416.666666666667,NA,750.000000000001,32.5520833333333,39.0625,60898.0666666667,72881.5806666667,NA,11983.514
"37","Anilemo","Debub Fonko","Wt-AN-DF-MS-TG-07","Midslope",3283.33333333333,4291.66666666667,8666.66666666667,9583.33333333333,NA,1008.33333333334,NA,916.666666666668,32.8333333333333,42.9166666666667,99213.3999999999,129334.414,NA,30121.0140000001
"38","Basona worana","Goshebado","Wt-BW-GB-MS-BK-01","Midslope",3800,4450,5633.33333333333,7716.66666666667,NA,649.999999999999,NA,2083.33333333333,41.7582417582418,48.9010989010989,109370,135120,NA,25750
"39","Basona worana","Goshebado","Wt-BW-GB-MS-EB-05","Midslope",4236.66666666667,4553.33333333333,7163.33333333333,8296.6666666667,NA,316.666666666668,NA,1133.33333333337,46.5567765567765,50.03663003663,127060,137151.28,NA,10091.2800000001
"40","Basona worana","Gudoberet","Wt-BW-GB-MS-ES-02","Midslope",4146.66666666667,4366.66666666667,9320,7833.33333333333,NA,220,NA,-1486.66666666667,67.9781420765027,71.5846994535519,137830,137161.28,NA,-668.720000000001
"41","Basona worana","Goshebado","Wt-BW-GB-MS-GW-04","Midslope",3666.66666666667,4900,7450,7350,NA,1233.33333333333,NA,-100.000000000001,40.2930402930403,53.8461538461538,110820,144711.28,NA,33891.28
"42","Basona worana","Gudoberet","Wt-BW-GB-MS-MH-01","Midslope",3900,4216.66666666667,7750,6666.66666666667,NA,316.666666666666,NA,-1083.33333333333,63.9344262295082,69.1256830601093,125720,129161.28,NA,3441.28
"43","Basona worana","Goshebado","Wt-BW-GB-MS-MA-03","Midslope",3516.66666666667,4116.66666666667,5050,7633.33333333333,NA,599.999999999999,NA,2583.33333333333,38.6446886446886,45.2380952380952,99120,122061.28,NA,22941.28
"44","Basona worana","Goshebado","Wt-BW-GB-MS-YW-02","Midslope",4000,4350,8046.66666666667,8120,NA,350,NA,73.3333333333339,43.956043956044,47.8021978021978,122610,130521.28,NA,7911.28
"45","Gozamen","Desi Asabi Abo","Wt-GZ-DA--MS-AA-06","Midslope",3601.4819047619,3545.94857142857,6377.5,5260.83333333333,NA,-55.5333333333338,NA,-1116.66666666667,38.7256118791603,38.1284792626728,88781.4933333333,88615.7266666667,NA,-165.766666666663
"46","Gozamen","Desi Asabi Abo","Wt-GZ-DA-MS-AB-04","Midslope",4159.47904761905,3440.80571428571,6058.33333333333,4115.83333333333,NA,-718.673333333337,NA,-1942.5,44.7255811571941,36.997910906298,103767.08,83381.7266666666,NA,-20385.3533333334
"47","Gozamen","Adissna Gulit","Wt-GZ-AG-MS-DM-05","Midslope",5475.92952380952,5385,7599.16666666667,6351.66666666667,NA,-90.9295238095247,NA,-1247.5,57.6413634085213,56.6842105263158,141889.36,140470.833333333,NA,-1418.5266666667
"48","Gozamen","Desi Asabi Abo","Wt-GZ-DA--MS-TN-03","Midslope",4502.04,4087.36,5485,5144.16666666667,NA,-414.680000000001,NA,-340.833333333333,48.4090322580645,43.9501075268817,112212.12,103541.913333333,NA,-8670.20666666668
"49","Gozamen","Adissna Gulit","Wt-GZ-AG-MS-TW-04","Midslope",5620.50190476191,3234.44857142857,7309.16666666667,4188.72095238095,NA,-2386.05333333333,NA,-3120.44571428571,67.7168904188181,38.9692598967298,145357.386666667,75929.5019047619,NA,-69427.8847619048
"50","Gozamen","Desi Asabi Abo","Wt-GZ-DA-MS-WS-05","Midslope",4313.06666666667,3509.39047619048,5925.83333333333,5056.66666666667,NA,-803.676190476191,NA,-869.166666666666,46.3770609318996,37.7353814644137,107802.533333333,87183.7666666666,NA,-20618.7666666667
"51","Lemo","Dijo Demala","Wt-LM-DD-MS-AS-05","Midslope",1441.66666666667,3083.33333333333,12833.3333333333,5250,NA,1641.66666666666,NA,-7583.33333333333,24.0277777777778,51.3888888888888,59475.8333333334,88425.0899999999,NA,28949.2566666664
"52","Lemo","Jawe","Wt-LM-JW-MS-AD-02","Midslope",2208.33333333333,3166.66666666667,8000,11333.3333333333,NA,958.333333333333,NA,3333.3333333333,34.5052083333333,49.4791666666667,70392.5,106133.423333333,NA,35740.9233333332
"53","Lemo","Jawe","Wt-LM-JW-MS-BS-03","Midslope",2833.33333333333,3000,7750,8083.33333333333,NA,166.666666666667,NA,333.333333333332,44.2708333333333,46.875,88517.5,93008.4233333333,NA,4490.92333333334
"54","Lemo","Dijo Demala","Wt-LM-DD-MS-FT-04","Midslope",1833.33333333333,3308.33333333333,8750,5083.33,NA,1475,NA,-3666.67,30.5555555555555,55.1388888888889,61017.4999999999,94758.415,NA,33740.9150000001
"55","Anilemo","Debub Fonko","Wt-AN-DF-HS-AL-02","Hillslope",3416.66666666667,3416.66666666667,9833.33333333333,9250,NA,0,NA,-583.333333333334,34.1666666666667,34.1666666666667,105938.4,104595.034,NA,-1343.36599999999
"56","Anilemo","Debub Fonko","Wt-AN-DF-HS-LS-03","Hillslope",3416.66666666667,3001.66666666667,9250,7833.33333333333,NA,-415,NA,-1416.66666666667,34.1666666666667,30.0166666666667,104625.9,88957.534,NA,-15668.366
"57","Anilemo","Debub Fonko","Wt-AN-DF-HS-LA-01","Hillslope",3926.66666666667,4667.5,12916.6666666667,11250,NA,740.83333333333,NA,-1666.66666666667,39.2666666666667,46.675,128175.9,146620.034,NA,18444.1339999999
"58","Anilemo","Debub Fonko","Wt-AN-DF-HS-ND-04","Hillslope",3542.5,3125,9916.66666666667,9166.66666666667,NA,-417.5,NA,-750,35.425,31.25,109900.9,95657.534,NA,-14243.366
"59","Gozamen","Adissna Gulit","Wt-GZ-AG-HS-AS-01","Hillslope",4951.43142857143,2765.05904761905,6984.16666666667,5125.83333333333,NA,-1584.94095238095,NA,-1524.16666666667,54.4113343799058,30.38526425955,125973.413333333,66358.32,NA,-42106.68
"60","Gozamen","Adissna Gulit","Wt-GZ-AG-HS-AS-03","Hillslope",4350,2500,6650,3800,NA,-265.059047619047,NA,-1325.83333333333,47.8021978021978,27.4725274725275,108465,56285,NA,-10073.32
"61","Gozamen","Desi Asabi Abo","Wt-GZ-DA-HS-AA-01","Hillslope",3175.04571428571,1841.76952380952,4825,3773.33333333333,NA,-1333.27619047619,NA,-1051.66666666667,36.0800649350649,20.9291991341991,74936.28,40821.2133333333,NA,-34115.0666666667
"62","Gozamen","Desi Asabi Abo","Wt-GZ-DA-HS-BF-02","Hillslope",4416.68571428571,3865.71714285714,7080,5355,NA,-550.968571428567,NA,-1725,50.1896103896103,43.9286038961039,114212.2,100655.08,NA,-13557.1199999998
"63","Gozamen","Adissna Gulit","Wt-GZ-AG-HS-YT-02","Hillslope",3250,2600,6550,3800,NA,-650,NA,-2750,34.2105263157895,27.3684210526316,77465,59085,NA,-18380
"64","Lemo","Dijo Demala","Wt-LM-DD-HS-AE-02","Hillslope",5750,4583.33333333333,14500,10916.6666666667,NA,-1166.66666666667,NA,-3583.33333333333,67.6470588235294,53.921568627451,189342.5,147096.896666667,NA,-42245.6033333333
"65","Lemo","Jawe","Wt-LM-JW-HS-EB-01","Hillslope",2333.33333333333,2000,8083.33333333333,7333.33333333333,NA,-333.333333333333,NA,-749.999999999998,36.4583333333333,31.25,74350.8333333333,64188.5633333333,NA,-10162.27
"66","Lemo","Dijo Demala","Wt-LM-DD-HS-MT-03","Hillslope",3625,1733.3333333333,6708.33333333333,9666.66666666667,NA,-1891.6666666667,NA,2958.33333333334,42.6470588235294,20.3921568627447,106113.333333333,58471.8966666657,NA,-47641.4366666677
"67","Lemo","Dijo Demala","Wt-LM-DD-HS-TO-01","Hillslope",6416.66666666667,5333.33333333333,15166.6666666667,14083.3333333333,NA,-1083.33333333333,NA,-1083.33333333334,75.4901960784314,62.7450980392157,211009.166666667,177513.563333333,NA,-33495.6033333334
